fotograma,tipo_objeto,confianza,identificador_tracking,x1,y1,x2,y2,matricula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
29,coche,0.6490715742111206,1,1303,309,1367,365,,,,,,,
29,coche,0.42770668864250183,2,1224,317,1261,342,,,,,,,
29,coche,0.14745935797691345,4,1264,311,1308,343,,,,,,,
30,coche,0.627009391784668,1,1303,308,1366,365,,,,,,,
30,coche,0.4000709652900696,2,1224,317,1261,342,,,,,,,
30,coche,0.15805883705615997,4,1263,311,1306,343,,,,,,,
31,coche,0.6197720170021057,1,1301,307,1364,364,,,,,,,
31,coche,0.35556748509407043,2,1225,317,1261,342,,,,,,,
31,coche,0.13792933523654938,4,1261,310,1305,343,,,,,,,
32,coche,0.638551652431488,1,1300,308,1361,363,,,,,,,
32,coche,0.29173991084098816,2,1226,318,1261,341,,,,,,,
32,coche,0.13749253749847412,4,1260,310,1304,343,,,,,,,
33,coche,0.6425170302391052,1,1300,308,1359,363,,,,,,,
33,coche,0.2601601183414459,2,1226,317,1261,341,,,,,,,
33,coche,0.1200878918170929,4,1261,310,1304,343,,,,,,,
34,coche,0.6255484819412231,1,1300,308,1358,363,,,,,,,
34,coche,0.2826969623565674,2,1226,317,1261,341,,,,,,,
34,coche,0.1280921846628189,4,1259,310,1302,343,,,,,,,
35,coche,0.6159378886222839,1,1299,308,1357,363,,,,,,,
35,coche,0.23766975104808807,2,1225,318,1260,342,,,,,,,
35,coche,0.12438645958900452,4,1258,310,1300,343,,,,,,,
36,coche,0.5972895622253418,1,1300,309,1355,363,,,,,,,
36,coche,0.3318035900592804,2,1225,318,1259,342,,,,,,,
36,coche,0.13830873370170593,4,1257,310,1298,343,,,,,,,
37,coche,0.6001519560813904,1,1300,310,1354,362,,,,,,,
37,coche,0.24575188755989075,2,1225,319,1259,342,,,,,,,
37,coche,0.13033752143383026,4,1256,311,1296,343,,,,,,,
38,coche,0.5407717823982239,1,1300,311,1352,362,,,,,,,
38,coche,0.1136016771197319,2,1224,317,1259,343,,,,,,,
38,coche,0.11730238795280457,4,1257,311,1296,343,,,,,,,
39,coche,0.4857707619667053,1,1300,313,1350,362,,,,,,,
39,coche,0.10888452082872391,4,1258,311,1296,343,,,,,,,
40,coche,0.47546759247779846,1,1301,314,1348,361,,,,,,,
40,coche,0.10632919520139694,4,1257,311,1295,342,,,,,,,
41,coche,0.4488171637058258,1,1301,314,1348,362,,,,,,,
42,coche,0.5106387734413147,1,1302,315,1347,360,,,,,,,
43,coche,0.46224236488342285,1,1301,316,1345,360,,,,,,,
44,coche,0.5339208245277405,1,1300,316,1344,361,,,,,,,
45,coche,0.41954413056373596,1,1299,316,1342,361,,,,,,,
46,coche,0.37799572944641113,1,1298,315,1342,361,,,,,,,
47,coche,0.3758198916912079,1,1298,313,1342,359,,,,,,,
48,coche,0.3110181987285614,1,1298,313,1341,358,,,,,,,
49,coche,0.2822529971599579,1,1298,314,1339,357,,,,,,,
50,coche,0.27456140518188477,1,1298,315,1338,357,,,,,,,
51,coche,0.2954208254814148,1,1297,316,1337,359,,,,,,,
52,coche,0.2854270040988922,1,1297,318,1336,359,,,,,,,
53,coche,0.2778628170490265,1,1295,319,1336,361,,,,,,,
54,coche,0.22040340304374695,1,1294,318,1336,362,,,,,,,
55,coche,0.1939006745815277,1,1291,314,1338,363,,,,,,,
56,coche,0.19358515739440918,1,1292,313,1338,361,,,,,,,
57,coche,0.1651386022567749,1,1292,312,1337,359,,,,,,,
58,coche,0.17356900870800018,1,1292,312,1333,356,,,,,,,
