epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1092.99,0.7299,0.52642,0.90681,0.98051,0.9697,0.98395,0.82842,0.59172,0.40832,0.83874,0.000581,0.000581,0.000581
45,1118.29,0.73124,0.53022,0.92782,0.997,0.9697,0.98507,0.83304,0.6047,0.41148,0.84016,0.000548,0.000548,0.000548
46,1143.88,0.73031,0.53335,0.9195,1,0.98457,0.98609,0.84676,0.58703,0.39106,0.82607,0.000515,0.000515,0.000515
47,1168.85,0.69524,0.50881,0.91062,0.96974,0.97111,0.99112,0.83755,0.60626,0.39539,0.8294,0.000482,0.000482,0.000482
48,1194.93,0.71318,0.50113,0.91151,0.9846,0.96886,0.98794,0.84774,0.56495,0.37656,0.82068,0.000449,0.000449,0.000449
49,1220.85,0.69623,0.5094,0.90205,0.97013,0.98405,0.98554,0.83161,0.61016,0.3952,0.82004,0.000416,0.000416,0.000416
50,1246.77,0.68483,0.47903,0.90621,0.99007,0.95455,0.98927,0.84765,0.55312,0.37779,0.81787,0.000383,0.000383,0.000383
51,1274.97,0.62165,0.42733,0.84095,0.97705,0.9697,0.98642,0.84719,0.57989,0.38813,0.81704,0.00035,0.00035,0.00035
52,1300.35,0.61431,0.42251,0.83299,0.98472,0.9766,0.98557,0.84541,0.59591,0.39608,0.82413,0.000317,0.000317,0.000317
53,1325.92,0.61329,0.41524,0.84364,0.96762,0.98485,0.98493,0.84311,0.55875,0.3872,0.81578,0.000284,0.000284,0.000284
54,1350.94,0.59194,0.40694,0.82861,1,0.9492,0.98526,0.86259,0.54499,0.35658,0.8166,0.000251,0.000251,0.000251
55,1376.04,0.58309,0.39143,0.83359,1,0.96819,0.986,0.86166,0.55869,0.36234,0.8182,0.000218,0.000218,0.000218
56,1400.89,0.55076,0.3854,0.83047,1,0.95313,0.98747,0.84949,0.56692,0.36739,0.81676,0.000185,0.000185,0.000185
57,1425.96,0.58539,0.39523,0.83526,0.95575,0.98178,0.98646,0.85768,0.54434,0.35859,0.81247,0.000152,0.000152,0.000152
58,1451.16,0.56302,0.38295,0.82933,0.98325,0.9697,0.98815,0.84306,0.5512,0.35924,0.81301,0.000119,0.000119,0.000119
59,1477.09,0.56453,0.37878,0.83059,0.96626,0.9697,0.98472,0.85137,0.55215,0.35449,0.81409,8.6e-05,8.6e-05,8.6e-05
60,1501.81,0.54548,0.37308,0.82524,0.99332,0.95455,0.9863,0.86421,0.52969,0.34662,0.81026,5.3e-05,5.3e-05,5.3e-05
